epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,34599.3,0.03589,0.17767,0.88819,0.99628,0.99898,0.99498,0.99498,0.15475,0.26941,0.2111,0.002278,0.002278,0.002278
80,35041.6,0.03471,0.17737,0.8882,0.9962,0.99941,0.99498,0.99498,0.14304,0.24847,0.20239,0.002179,0.002179,0.002179
81,35485.3,0.03387,0.17723,0.88504,0.99733,0.99927,0.99498,0.99498,0.14491,0.258,0.20108,0.00208,0.00208,0.00208
82,35929,0.03262,0.16951,0.88319,0.99745,0.99967,0.99498,0.99498,0.13959,0.25348,0.20076,0.001981,0.001981,0.001981
83,36371.9,0.03281,0.17589,0.88801,0.99799,0.99923,0.995,0.995,0.14337,0.25819,0.20527,0.001882,0.001882,0.001882
84,36816.2,0.03224,0.17191,0.88603,1,0.99884,0.995,0.995,0.14123,0.2495,0.20066,0.001783,0.001783,0.001783
85,37262.4,0.03174,0.17009,0.8858,0.99791,0.99923,0.995,0.99499,0.14078,0.24979,0.20246,0.001684,0.001684,0.001684
86,37707.7,0.03133,0.16499,0.8878,0.99756,0.99866,0.995,0.99499,0.14728,0.2566,0.20743,0.001585,0.001585,0.001585
87,38152.9,0.02983,0.16236,0.88683,0.99672,0.99907,0.995,0.995,0.14388,0.25173,0.20369,0.001486,0.001486,0.001486
88,38599.5,0.02926,0.16032,0.88774,0.99763,1,0.995,0.995,0.13817,0.24596,0.19753,0.001387,0.001387,0.001387
89,39046.2,0.0286,0.16344,0.88611,0.99931,1,0.995,0.995,0.14192,0.26043,0.19877,0.001288,0.001288,0.001288
90,39492.4,0.02862,0.16431,0.88628,0.99945,0.99959,0.995,0.995,0.13804,0.25538,0.19456,0.001189,0.001189,0.001189
91,39931.3,0.02708,0.07211,0.90081,0.99752,0.99898,0.995,0.995,0.1392,0.26081,0.19842,0.00109,0.00109,0.00109
92,40371.9,0.02316,0.04925,0.89928,0.9974,0.99876,0.99498,0.99498,0.13968,0.2637,0.1994,0.000991,0.000991,0.000991
93,40814.3,0.02171,0.04377,0.89834,0.99755,0.99782,0.995,0.995,0.13742,0.26263,0.19543,0.000892,0.000892,0.000892
94,41256.7,0.02168,0.04365,0.90482,0.99756,0.99801,0.995,0.995,0.13881,0.26689,0.19684,0.000793,0.000793,0.000793
95,41698.8,0.0189,0.03863,0.90125,0.99758,0.99877,0.995,0.995,0.13981,0.27265,0.19762,0.000694,0.000694,0.000694
96,42141.4,0.01852,0.03473,0.89671,0.99774,0.99898,0.995,0.995,0.13744,0.27164,0.19298,0.000595,0.000595,0.000595
97,42584.6,0.0175,0.03105,0.89913,0.99775,0.99898,0.995,0.995,0.13746,0.27604,0.19191,0.000496,0.000496,0.000496
98,43028.4,0.01639,0.03317,0.89797,0.99768,0.99898,0.995,0.995,0.13642,0.27828,0.19032,0.000397,0.000397,0.000397
99,43472,0.01522,0.03118,0.89839,0.99769,0.99898,0.99498,0.99498,0.13472,0.27741,0.18819,0.000298,0.000298,0.000298
100,43915.7,0.015,0.03181,0.89621,0.99763,0.99898,0.99498,0.99498,0.13411,0.27901,0.18668,0.000199,0.000199,0.000199
